seqnames,start,end,width,strand,gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,tx_ids
X,2691187,2741309,50123,+,ENSG00000002586,27810.782659695895,0.5529191005555925,0.11607131537560322,3.5396727423349646e-8,1.87352796091353e-5,CD99,
4,11393150,11429564,36415,-,ENSG00000002587,192.76561545242998,0.5909731575284275,0.26101328939860263,6.383276887446802e-4,0.04613391601063961,HS3ST1,
X,24149173,24216255,67083,+,ENSG00000005889,6064.789026932052,-0.49227029984306303,0.06120579703661277,3.4607857899094427e-17,3.1140150537605165e-14,ZFX,
16,3018445,3022383,3939,+,ENSG00000006327,1248.3004292831752,-0.8243405085004234,0.22654502349508,1.7044161106010953e-5,0.004381810332339616,TNFRSF12A,
X,7898247,7927739,29493,-,ENSG00000006757,765.807693189834,-0.2729659186050608,0.09932851524575574,6.084018862477994e-4,0.044507318475265845,PNPLA4,
7,6161776,6272644,110869,-,ENSG00000008256,2505.5048814175598,-0.32758025679373304,0.09830937159377413,7.198272622767014e-5,0.012971883402433493,CYTH3,
1,160115759,160143591,27833,+,ENSG00000018625,61.69435435106998,0.8473918342640125,0.41591030594438433,7.213947916872213e-4,0.049660730212628706,ATP1A2,
8,141207166,141308305,101140,-,ENSG00000022567,517.6680293339361,0.23561123522998828,0.07974884792582004,3.087390511984369e-4,0.030527845963555334,SLC45A4,
9,99979185,100099000,119816,-,ENSG00000023318,12268.02379204156,0.2396664152462403,0.07683093650084939,1.674975749033352e-4,0.021323556163785846,ERP44,
6,107867756,107958208,90453,-,ENSG00000025796,17370.634775785817,0.1813656989481727,0.06183533805932453,5.585085945235503e-4,0.04205406136839251,SEC63,
6,26402237,26415208,12972,+,ENSG00000026950,1661.895882499322,-0.3915672426199286,0.12504223025792638,1.800455950607028e-4,0.022010364404397874,BTN3A1,
17,21284672,21315240,30569,+,ENSG00000034152,2414.1580882019744,-0.4157318627720819,0.12070420289712488,4.889367088938179e-5,0.009607586384872174,MAP2K3,
4,25160663,25279204,118542,+,ENSG00000038210,1641.3521946092453,0.2518221275228685,0.07487072273654663,1.0298428051497144e-4,0.016547367072744873,PI4K2B,
9,125234853,125241343,6491,-,ENSG00000044574,94687.92797688665,0.34848701748494526,0.13804086699932458,7.001092375331273e-4,0.04883397611878356,HSPA5,
X,14008279,14029893,21615,-,ENSG00000046647,763.8904433304472,-0.36172028084450397,0.07698821922418485,2.163412081797454e-7,9.495796054640727e-5,GEMIN8,
